,Id,LotArea,LotShape,BsmtExposure,BsmtFinType1,BsmtFinSF1,CentralAir,Electrical,2ndFlrSF,BsmtFullBath,HalfBath,FireplaceQu,GarageFinish,PavedDrive,WoodDeckSF,OpenPorchSF
62,63,6442,1,2,0,24,0,0,0,0,0,1,0,0,120,49
63,64,10300,1,0,2,0,0,0,808,0,0,-1,1,0,12,11
64,65,9375,0,0,0,739,0,0,977,1,1,-1,0,0,576,36
65,66,9591,0,3,2,0,0,0,1330,0,1,1,0,0,192,151
66,67,19900,0,1,0,912,0,0,0,1,0,1,0,0,301,0
67,68,10665,1,3,0,1013,0,0,0,1,0,-1,0,0,144,29
68,69,4608,0,0,2,0,0,0,0,0,0,-1,1,0,0,0
69,70,15593,0,0,4,603,0,0,983,0,0,0,2,0,0,21
70,71,13651,1,1,1,1880,0,0,0,1,0,1,2,0,300,0
71,72,7599,0,0,1,565,0,0,0,1,0,-1,1,0,0,0
72,73,10141,1,0,2,0,0,0,833,0,1,0,2,0,0,94
73,74,10200,0,0,1,320,0,0,0,1,0,-1,1,0,0,0
74,75,5790,0,0,2,0,1,0,765,0,0,-1,1,0,0,0
75,76,1596,0,1,0,462,0,0,462,1,0,-1,1,0,120,101
76,77,8475,1,0,1,228,0,2,0,0,0,-1,1,0,0,0
77,78,8635,0,0,4,336,0,0,213,1,0,-1,1,0,0,0
78,79,10778,0,0,2,0,1,0,0,0,0,-1,-1,0,0,0
79,80,10440,0,0,2,0,0,0,548,0,1,-1,1,0,74,0
80,81,13000,0,0,3,448,0,0,960,0,1,1,2,0,0,72
81,82,4500,0,0,0,1201,0,0,0,1,0,-1,2,0,0,199
82,83,10206,0,0,0,33,0,0,0,0,0,1,0,0,144,99
83,84,8892,1,0,2,0,0,0,0,0,1,-1,1,0,74,0
84,85,8530,1,0,2,0,0,0,670,0,1,0,2,0,120,72
85,86,16059,0,0,2,0,0,0,1116,0,1,0,1,0,127,82
86,87,11911,2,3,2,0,0,0,876,0,1,1,2,0,100,38
87,88,3951,0,3,2,0,0,0,612,0,1,-1,0,0,0,234
88,89,8470,1,0,2,0,1,0,0,0,0,-1,-1,1,0,0
89,90,8070,0,0,0,588,0,0,0,1,0,-1,-1,0,0,0
90,91,7200,0,-1,-1,0,0,2,0,0,0,-1,1,0,0,29
91,92,8500,0,0,3,600,0,0,0,0,0,-1,1,0,0,0
92,93,13360,1,0,1,713,0,0,0,1,0,-1,1,0,0,0
93,94,7200,0,2,3,1046,1,0,1031,0,0,1,1,0,0,0
94,95,9337,1,0,0,648,0,0,881,1,1,-1,0,0,0,162
95,96,9765,2,0,1,310,0,0,790,0,1,0,2,0,232,63
96,97,10264,1,3,1,1162,0,0,0,0,0,-1,0,0,158,29
97,98,10921,0,0,3,520,0,1,0,1,0,-1,2,2,120,0
98,99,10625,0,0,1,108,1,0,0,0,0,-1,1,0,0,0
99,100,9320,1,0,1,569,0,0,0,1,1,-1,-1,0,352,0
100,101,10603,1,2,1,1200,0,0,0,1,0,0,0,0,168,68
101,102,9206,0,0,2,0,0,0,755,0,1,0,2,0,192,46
102,103,7018,0,-1,-1,0,0,0,0,0,0,-1,1,0,0,0
103,104,10402,1,0,2,0,0,0,0,0,0,-1,0,0,0,36
104,105,7758,0,0,5,224,0,1,592,0,1,0,1,0,0,0
105,106,9375,0,0,2,0,0,0,939,0,1,1,0,0,140,45
106,107,10800,0,0,2,0,0,0,0,0,0,-1,1,1,0,0
107,108,6000,0,0,1,104,0,0,0,0,0,-1,1,0,0,0
108,109,8500,0,0,2,0,1,1,520,0,0,-1,-1,1,0,0
109,110,11751,1,0,4,705,0,0,0,0,0,0,0,0,0,122
110,111,9525,0,0,3,444,0,0,639,0,0,-1,1,0,182,0
111,112,7750,1,0,0,250,0,0,656,0,1,0,2,0,180,0
112,113,9965,0,3,0,984,0,0,1414,1,1,1,2,0,120,184
113,114,21000,0,2,1,35,0,0,0,1,0,1,1,0,166,120
114,115,7259,1,0,1,774,0,0,884,1,1,0,1,0,224,0
115,116,3230,0,0,0,419,0,0,729,0,1,2,1,0,0,32
116,117,11616,0,0,5,170,0,0,0,0,0,4,1,0,0,20
117,118,8536,0,0,2,0,0,0,0,0,1,-1,1,0,80,64
118,119,12376,0,2,0,1470,0,0,1523,1,0,0,1,0,367,0
119,120,8461,0,0,2,0,0,0,728,0,1,1,2,0,0,24
120,121,21453,1,1,1,938,0,0,0,1,0,0,1,0,0,130
121,122,6060,0,0,2,0,0,0,351,0,0,-1,1,2,0,0
122,123,9464,0,0,4,570,0,0,0,0,0,-1,1,0,0,0
123,124,7892,0,0,0,300,0,0,0,0,0,-1,0,0,0,63
124,125,17043,1,0,2,0,0,0,0,0,0,0,1,0,192,0
125,126,6780,0,3,0,490,1,0,0,1,0,-1,-1,1,53,0
126,127,4928,1,0,1,120,0,0,0,0,0,0,0,0,0,205
127,128,4388,1,0,5,116,0,0,0,0,0,0,-1,1,0,0
128,129,7590,0,0,4,512,0,0,688,0,1,2,0,0,188,108
129,130,8973,0,0,3,567,0,2,0,0,1,-1,0,0,0,80
130,131,14200,0,0,3,445,0,0,941,0,1,1,2,0,105,66
131,132,12224,1,0,0,695,0,0,1032,1,1,0,0,0,24,48
132,133,7388,0,0,3,405,0,0,0,1,0,-1,1,0,0,0
133,134,6853,1,0,0,1005,0,0,0,1,0,-1,2,0,192,25
134,135,10335,1,0,3,570,0,0,0,0,1,0,0,0,0,96
135,136,10400,0,0,2,0,0,0,0,0,0,1,1,0,98,0
136,137,10355,1,0,4,695,0,0,0,0,0,2,0,0,0,111
137,138,11070,0,0,2,0,0,0,0,0,0,-1,1,0,0,0
138,139,9066,1,2,0,668,0,0,848,0,1,0,2,0,224,106
139,140,15426,1,0,0,821,0,0,836,1,1,-1,0,0,276,99
140,141,10500,0,0,1,432,0,0,0,0,0,4,-1,0,0,0
141,142,11645,0,3,0,1300,0,0,0,1,0,-1,2,0,160,24
142,143,8520,0,0,3,507,0,0,475,0,0,-1,1,0,0,0
143,144,10335,1,1,0,679,0,0,0,1,0,-1,0,0,144,29
144,145,9100,0,0,3,1332,0,0,0,1,0,-1,1,0,0,0
145,146,2522,0,0,2,0,0,0,739,0,0,-1,1,0,0,40
146,147,6120,0,0,4,209,0,2,0,1,0,-1,1,0,48,0
147,148,9505,1,0,2,0,0,0,1151,0,1,1,2,0,144,48
148,149,7500,0,0,0,680,0,0,0,1,0,-1,-1,0,0,0
149,150,6240,0,0,2,0,0,2,448,0,0,-1,1,0,200,114
150,151,10356,0,3,4,716,0,0,0,0,1,-1,1,0,0,0
151,152,13891,0,1,0,1400,0,0,0,1,0,1,0,0,0,102
152,153,14803,1,0,3,416,0,0,896,0,1,1,0,0,0,66
153,154,13500,0,1,4,429,0,0,0,1,0,1,0,0,409,0
154,155,11340,0,0,2,0,0,2,0,0,0,-1,1,0,0,0
155,156,9600,0,0,2,0,1,1,524,0,0,-1,-1,1,0,8
156,157,7200,0,-1,-1,0,0,1,0,0,0,-1,1,0,0,0
157,158,12003,0,0,2,0,0,0,1194,0,1,1,2,0,0,75
158,159,12552,0,0,0,222,0,0,956,0,1,1,0,0,0,136
159,160,19378,1,2,0,57,0,0,1070,1,1,1,0,0,239,132
160,161,11120,1,0,4,660,0,0,0,0,0,-1,1,0,0,0
161,162,13688,1,3,0,1016,0,0,1096,1,1,1,2,0,400,0
162,163,12182,0,2,4,1201,0,0,0,0,0,1,0,0,0,70
163,164,5500,0,0,2,0,0,0,0,0,0,-1,-1,0,0,0
164,165,5400,0,2,5,370,0,2,467,0,0,-1,1,0,0,0
165,166,10106,0,0,1,351,0,0,547,1,0,-1,-1,0,140,0
166,167,10708,1,0,5,379,0,2,0,1,0,1,2,0,476,0
167,168,10562,0,0,0,1288,0,0,551,1,1,1,2,0,178,120
168,169,8244,1,0,2,0,0,0,880,0,1,1,2,0,100,48
169,170,16669,1,0,2,0,0,0,0,0,1,0,0,0,574,64
170,171,12358,1,0,3,360,0,0,0,0,1,-1,1,0,237,0
171,172,31770,1,1,4,639,0,0,0,1,0,1,2,2,210,62
172,173,5306,1,0,0,495,0,0,703,1,0,0,0,0,441,35
173,174,10197,1,0,1,288,0,0,0,1,1,0,1,0,0,20
174,175,12416,1,0,1,1398,0,0,0,1,0,0,2,0,192,0
175,176,12615,0,3,1,477,0,0,0,1,0,1,1,0,0,29
176,177,10029,1,0,0,831,0,0,896,0,1,0,1,0,0,228
177,178,13650,0,0,1,57,0,0,668,1,0,1,1,0,0,0
178,179,17423,1,0,0,1904,0,0,0,1,0,1,2,0,0,60
179,180,8520,0,0,2,0,0,0,0,0,0,-1,1,1,0,0
180,181,2117,0,0,0,436,0,0,756,0,1,0,1,0,0,0
181,182,7588,0,0,5,352,0,0,901,0,1,1,1,0,0,0
182,183,9060,0,-1,-1,0,0,0,0,0,0,1,0,0,116,0
183,184,11426,0,0,2,0,0,0,720,0,1,-1,1,1,280,238
184,185,7438,1,0,2,0,0,0,316,0,0,-1,1,0,104,0
185,186,22950,2,2,2,0,0,0,1518,0,1,0,1,0,0,260
186,187,9947,1,3,0,611,0,0,0,1,0,-1,1,0,168,27
187,188,10410,0,0,2,0,0,0,704,0,1,-1,1,1,0,0
188,189,7018,0,3,0,1086,0,0,0,2,2,0,1,0,120,0
189,190,4923,0,3,0,1153,0,0,0,1,1,1,2,0,0,120
190,191,10570,0,0,3,297,0,0,1178,0,1,0,1,0,0,74
191,192,7472,1,0,1,626,0,0,754,1,1,-1,2,0,0,32
192,193,9017,1,3,0,560,0,0,0,1,0,-1,2,0,0,35
193,194,2522,0,0,2,0,0,0,739,0,0,-1,1,0,0,40
194,195,7180,1,3,1,390,0,0,0,0,0,-1,1,0,0,0
195,196,2280,0,0,1,566,0,0,601,0,1,0,1,0,87,0
196,197,9416,0,0,0,1126,0,0,0,1,0,1,2,0,171,138
197,198,25419,0,0,0,1036,0,0,1360,1,0,3,1,0,0,16
198,199,5520,0,0,2,0,0,0,929,0,0,-1,-1,0,0,198
199,200,9591,0,3,0,1088,0,0,0,1,0,1,2,0,0,26
200,201,8546,0,0,2,0,0,0,0,0,0,-1,0,0,132,64
201,202,10125,0,0,1,641,0,0,0,0,0,2,1,0,238,83
202,203,7000,0,0,5,617,0,0,445,0,0,-1,1,0,0,0
203,204,4438,0,3,0,662,0,0,0,1,0,1,0,0,149,0
204,205,3500,0,0,5,312,0,0,564,0,1,-1,1,0,0,35
205,206,11851,0,0,2,0,0,0,0,0,0,-1,0,0,0,34
206,207,13673,1,0,2,0,0,0,0,0,1,0,0,0,0,30
207,208,12493,1,0,1,419,0,0,0,1,0,4,0,0,355,0
208,209,14364,1,1,0,1065,0,0,882,1,1,1,2,0,60,55
209,210,8250,0,0,3,787,0,0,0,1,0,-1,0,0,0,0
210,211,5604,0,0,3,468,1,2,0,1,0,-1,-1,0,0,0
211,212,10420,0,2,0,36,0,0,0,0,0,-1,0,0,100,22
212,213,8640,0,0,0,822,0,0,920,1,1,0,0,0,168,108
213,214,13568,2,0,1,716,0,0,0,0,0,-1,1,0,224,0
214,215,10900,1,0,0,378,0,0,703,0,1,-1,2,0,0,36
215,216,10011,1,0,4,360,0,0,0,0,0,2,1,0,0,0
216,217,8450,0,2,0,946,0,0,0,1,0,-1,1,0,139,98
217,218,9906,0,0,2,0,1,0,518,0,0,-1,1,0,0,172
218,219,15660,1,0,4,341,0,0,817,0,1,0,1,0,0,119
219,220,3010,0,3,0,16,0,0,0,0,0,-1,2,0,108,0
220,221,8990,1,2,2,0,0,0,0,0,0,-1,0,0,351,33
221,222,8068,1,0,2,0,0,0,1257,0,1,0,0,0,120,46
222,223,11475,0,0,1,550,0,0,741,1,1,0,0,0,209,208
223,224,10500,0,0,1,524,0,0,0,0,0,-1,1,0,216,0
224,225,13472,0,1,0,56,0,0,0,0,0,3,2,0,248,105
225,226,1680,0,0,2,0,0,0,672,0,1,-1,1,0,0,0
226,227,9950,1,0,0,565,0,0,1306,0,1,0,0,0,224,114
227,228,1869,0,0,3,321,0,0,504,0,1,-1,1,0,0,0
228,229,8521,0,0,1,842,0,0,0,0,0,2,1,0,0,0
229,230,3182,0,3,0,16,0,0,0,0,0,0,2,0,143,20
230,231,8760,0,0,2,0,0,0,0,1,0,-1,0,0,0,0
231,232,15138,1,0,0,689,0,0,1304,1,1,0,2,0,0,146
232,233,1680,0,0,2,0,0,0,504,0,1,4,1,0,0,0
233,234,10650,0,3,5,182,0,0,0,1,0,-1,1,0,365,0
234,235,7851,0,0,0,625,0,0,1100,1,1,0,2,0,288,48
235,236,1680,0,0,1,358,0,0,504,0,1,-1,1,0,0,0
236,237,8773,0,3,0,24,0,0,0,0,0,-1,0,0,132,105
237,238,9453,1,0,4,402,0,0,730,0,1,-1,0,0,370,70
238,239,12030,0,0,2,0,0,0,0,0,0,-1,2,0,168,228
239,240,8741,0,0,5,94,0,2,689,0,1,1,1,0,0,140
240,241,9000,0,3,0,1078,0,0,0,1,0,-1,0,0,144,168
241,242,3880,0,0,1,329,0,0,0,0,0,-1,-1,0,58,42
242,243,5000,0,0,2,0,1,2,551,0,0,-1,1,0,0,0
243,244,10762,0,0,2,0,0,0,591,0,1,0,0,0,0,28
244,245,8880,1,0,0,695,0,0,888,1,1,2,0,0,0,130
245,246,10400,0,3,0,929,0,0,0,0,0,0,2,0,197,39
246,247,9142,0,0,2,0,1,3,1020,0,0,-1,1,0,0,60
247,248,11310,0,0,2,0,0,0,0,0,0,0,1,0,0,30
248,249,11317,0,0,2,0,0,0,828,0,1,-1,0,0,144,68
249,250,159000,2,1,3,697,0,0,700,0,0,0,2,0,0,98
250,251,5350,1,0,2,0,0,0,0,0,0,-1,-1,0,263,0
251,252,4750,1,1,0,1573,0,0,0,1,0,1,2,0,123,0
252,253,8366,1,0,2,0,0,0,842,0,1,-1,0,0,138,45
253,254,9350,0,1,5,270,0,0,0,0,0,-1,0,0,333,0
254,255,8400,0,0,3,922,0,0,0,1,0,-1,0,0,250,0
255,256,8738,1,0,2,0,0,0,1286,0,1,0,2,0,192,0
256,257,8791,1,0,3,503,0,0,864,0,1,-1,0,0,216,56
257,258,8814,0,0,0,1334,0,0,0,1,1,1,0,0,123,110
258,259,12435,0,0,0,361,0,0,829,0,1,0,0,0,0,96
259,260,12702,0,-1,-1,0,0,2,0,0,0,-1,1,0,0,45
260,261,19296,0,1,3,672,0,0,0,1,0,0,1,0,0,0
261,262,9588,1,0,2,0,0,0,1092,0,1,1,2,0,0,148
262,263,8471,1,3,1,506,0,0,0,1,0,0,1,0,292,12
263,264,5500,0,0,5,234,0,0,0,1,0,-1,1,0,0,0
264,265,5232,3,0,2,0,1,3,0,0,0,-1,1,1,0,0
265,266,12090,1,0,0,588,0,0,0,0,0,0,2,0,276,0
266,267,11207,1,3,0,714,0,0,709,1,1,0,2,0,95,75
267,268,8400,0,0,5,378,0,0,720,0,1,1,1,0,262,24
268,269,6900,0,0,1,403,0,0,0,0,0,1,2,0,0,25
269,270,7917,1,0,4,751,0,0,0,1,1,2,0,0,370,30
270,271,10728,0,2,2,0,0,0,844,0,1,1,0,0,192,51
271,272,39104,1,1,5,226,0,0,0,1,0,0,1,0,81,0
272,273,11764,1,0,0,524,0,0,1106,0,1,1,2,0,132,57
273,274,9600,0,0,3,620,0,0,0,1,0,1,0,0,289,0
274,275,8314,0,1,1,546,0,0,0,0,0,-1,1,0,168,0
275,276,7264,0,0,2,0,1,0,596,0,1,-1,1,0,74,0
276,277,9196,1,0,2,0,0,0,0,0,0,-1,2,0,100,150
277,278,19138,0,0,5,120,0,0,0,0,0,-1,1,0,0,0
278,279,14450,0,1,2,0,0,0,0,0,1,3,2,0,124,98
279,280,10005,0,0,4,392,0,0,866,0,1,0,2,0,288,117
280,281,11287,0,3,0,421,0,0,807,0,1,0,2,0,0,84
281,282,7200,0,0,0,905,0,0,0,0,0,-1,2,0,0,120
282,283,5063,0,0,0,904,0,0,0,1,0,1,0,0,172,62
283,284,9612,0,0,2,0,0,0,0,0,0,1,2,0,210,150
284,285,8012,0,0,0,430,0,0,0,1,0,-1,0,0,0,0
285,286,4251,1,0,2,0,0,0,625,0,1,-1,0,0,0,54
286,287,9786,1,0,3,600,0,0,649,0,1,1,0,0,0,0
287,288,8125,1,0,4,614,0,0,0,0,0,-1,-1,0,0,0
288,289,9819,1,0,4,450,0,0,0,0,0,-1,1,0,0,0
289,290,8730,0,0,2,0,0,2,698,0,0,-1,1,0,0,0
290,291,15611,0,3,2,0,0,0,840,0,1,1,0,0,0,51
291,292,5687,0,0,3,210,1,0,780,1,0,-1,-1,1,0,184
292,293,11409,0,0,5,292,0,0,568,0,1,1,1,0,0,0
293,294,16659,1,0,1,795,0,0,795,1,1,0,2,0,0,250
294,295,9600,0,0,0,1285,0,0,0,1,0,1,2,0,110,0
295,296,7937,1,3,0,819,0,0,0,1,0,-1,1,0,120,0
296,297,13710,0,0,4,420,0,2,648,0,1,-1,1,0,289,0
297,298,7399,1,0,4,649,0,0,975,0,1,0,0,0,0,10
298,299,11700,0,0,1,384,0,0,702,0,2,1,1,0,224,0
299,300,14000,0,0,2,0,0,0,0,0,0,1,1,0,0,36
300,301,15750,0,2,4,841,0,0,0,1,0,1,1,0,0,0
301,302,16226,3,0,0,281,0,0,1242,0,1,0,2,0,208,50
302,303,13704,1,0,2,0,0,0,0,0,0,0,0,0,468,81
303,304,9800,0,0,1,894,0,0,0,1,0,-1,1,0,256,0
304,305,18386,0,0,2,0,0,0,1818,0,0,3,1,0,302,0
305,306,10386,0,0,0,1464,0,0,0,1,0,-1,2,0,168,0
306,307,13474,0,0,1,700,0,0,1121,1,1,0,0,0,127,44
307,308,7920,1,0,2,0,0,2,371,0,0,-1,-1,1,0,144
308,309,12342,1,0,4,262,0,0,0,0,0,-1,1,0,158,0
309,310,12378,1,1,0,1274,0,0,0,1,0,3,2,0,208,175
310,311,7685,1,0,1,518,0,0,804,0,1,0,2,0,190,63
311,312,8000,0,0,1,680,0,0,0,1,0,1,1,0,0,0
312,313,7800,0,2,3,507,0,0,325,1,0,1,1,0,0,0
313,314,215245,3,1,1,1236,0,0,0,2,0,1,0,0,0,0
314,315,9600,0,0,5,16,0,0,809,0,1,1,1,0,0,0
315,316,7795,1,0,0,425,0,0,716,1,1,1,2,0,100,51
316,317,13005,1,0,0,692,0,0,1200,1,1,0,0,0,288,195
317,318,9000,0,3,2,0,0,0,871,0,1,1,0,0,208,46
318,319,9900,0,1,0,987,0,0,1274,1,1,0,0,0,340,60
319,320,14115,0,3,0,1036,0,0,0,1,0,0,1,0,233,48
320,321,16259,0,3,2,0,0,0,1347,0,1,-1,0,0,240,154
321,322,12099,1,3,0,970,0,0,1332,1,1,1,2,0,184,154
322,323,10380,1,1,5,28,0,0,1177,1,1,0,2,0,201,96
323,324,5820,0,0,1,256,0,0,0,1,0,-1,1,0,142,98
324,325,11275,0,0,2,0,0,0,1080,0,1,1,2,0,240,0
325,326,5000,0,3,4,116,1,1,0,0,0,-1,1,0,0,0
326,327,10846,1,1,0,1619,0,0,0,2,1,1,2,0,122,30
327,328,11600,0,0,3,565,0,0,0,0,1,-1,0,0,0,45
328,329,11888,1,0,2,0,1,2,689,0,0,-1,1,0,0,60
329,330,6402,0,2,2,0,1,0,596,0,0,-1,1,1,0,0
330,331,10624,1,0,0,40,0,0,0,0,0,-1,1,0,155,0
331,332,8176,0,0,3,846,0,0,0,1,0,-1,0,0,0,0
332,333,10655,1,0,0,1124,0,0,0,1,0,1,0,0,0,0
333,334,8198,0,3,0,720,0,0,0,1,0,1,0,0,192,30
334,335,9042,1,1,0,828,0,0,695,1,1,0,2,0,100,38
335,336,164660,1,1,1,1249,0,0,167,2,0,1,2,0,670,0
336,337,14157,1,1,0,1249,0,0,0,1,0,1,2,0,178,51
337,338,9135,0,3,0,810,0,0,0,1,0,-1,0,0,192,74
338,339,14145,0,2,1,213,0,0,0,1,0,-1,0,0,108,45
339,340,12400,1,0,3,585,0,2,0,0,0,-1,1,0,0,0
340,341,14191,0,0,2,0,0,0,915,0,1,-1,2,0,135,0
341,342,8400,0,0,2,0,0,0,0,0,0,-1,1,1,250,0
342,343,8544,0,-1,-1,0,1,2,0,0,0,-1,1,0,0,0
343,344,8849,1,0,0,28,0,0,0,0,0,3,0,0,495,72
344,345,2592,0,0,3,129,0,0,576,0,1,-1,1,0,182,0
345,346,6435,0,0,2,0,0,0,605,0,0,1,1,0,0,0
346,347,12772,1,2,4,498,0,0,0,0,0,-1,0,0,0,0
347,348,17600,1,0,4,1270,0,2,0,1,0,1,1,0,0,40
348,349,2448,0,0,0,573,0,0,862,1,1,-1,0,0,0,27
349,350,20431,2,0,0,1410,0,0,880,1,1,3,2,0,0,0
350,351,7820,1,0,2,0,0,0,0,0,0,1,0,0,210,54
351,352,5271,1,1,0,1082,0,0,0,1,1,0,0,0,0,80
352,353,9084,0,2,5,236,1,0,495,0,0,-1,1,0,48,0
353,354,8520,0,0,2,0,0,0,0,0,0,-1,1,0,106,0
354,355,8400,0,0,5,388,0,0,403,0,0,1,1,0,0,0
355,356,11249,2,0,1,334,0,0,0,1,0,-1,0,0,0,26
356,357,9248,1,0,0,560,0,0,0,1,0,-1,0,0,120,26
357,358,4224,0,0,1,874,0,0,0,1,1,4,2,0,536,90
358,359,6930,1,3,4,300,0,1,0,0,0,-1,1,0,168,0
359,360,12011,1,3,0,956,0,0,838,1,1,0,0,0,208,75
360,361,7540,1,3,0,773,0,0,0,1,0,0,0,0,0,0
361,362,9144,0,0,3,399,0,0,517,1,0,-1,1,1,0,0
362,363,7301,0,-1,-1,0,0,0,1427,0,0,3,0,0,0,0
363,364,1680,0,0,1,162,0,0,504,0,1,-1,1,0,250,0
364,365,18800,1,2,0,712,0,0,784,1,1,0,2,0,306,111
365,366,10690,0,0,3,456,0,2,672,0,0,-1,1,0,0,128
366,367,9500,1,0,4,609,0,0,0,1,1,1,0,0,0,76
367,368,9150,1,1,0,371,0,0,0,0,0,1,0,0,64,110
368,369,7800,0,0,5,540,0,0,0,0,0,1,2,0,0,98
369,370,9830,1,0,1,72,0,0,0,1,0,1,2,0,364,17
370,371,8121,1,0,2,0,0,0,711,0,1,0,0,0,100,40
371,372,17120,0,-1,-1,0,0,0,468,0,0,1,2,1,0,59
372,373,7175,0,0,1,623,0,0,0,1,0,-1,1,0,353,0
373,374,10634,0,0,4,428,0,0,0,1,0,-1,1,0,66,0
374,375,8200,0,0,2,0,0,0,1081,0,1,1,2,0,100,48
375,376,10020,1,1,4,350,1,2,0,1,1,-1,-1,0,0,0
376,377,8846,1,3,0,298,0,0,0,0,0,-1,1,0,0,0
377,378,11143,1,0,2,0,0,0,886,0,0,1,0,0,159,214
378,379,11394,0,3,0,1445,0,0,0,1,1,3,2,0,113,0
379,380,8123,1,0,2,0,0,0,793,0,1,0,2,0,100,63
380,381,5000,0,0,5,218,0,0,665,0,0,1,1,0,0,0
381,382,7200,0,0,2,0,0,0,0,1,0,1,0,0,216,121
382,383,9245,1,3,2,0,0,0,858,0,1,-1,0,0,144,53
383,384,9000,0,0,2,0,1,2,0,0,0,-1,1,1,0,0
