Id,MSSubClass,LotArea,Alley,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,GrLivArea,BsmtFullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageFinish,GarageCars,GarageArea,PoolQC,MiscFeature,MoSold,YrSold
32,20,8544,NA,Sawyer,5,6,1966,2006,0,1228,1228,1228,0,3,1,6,0,Unf,1,271,NA,NA,6,2008
33,20,11049,NA,CollgCr,8,5,2007,2007,0,1234,1234,1234,0,3,1,7,0,RFn,2,484,NA,NA,1,2008
34,20,10552,NA,NAmes,5,5,1959,1959,1018,380,1398,1700,0,4,1,6,1,RFn,2,447,NA,NA,4,2010
35,120,7313,NA,NridgHt,9,5,2005,2005,1153,408,1561,1561,1,2,1,6,1,Fin,2,556,NA,NA,8,2007
36,60,13418,NA,NridgHt,8,5,2004,2005,0,1117,1117,2452,0,4,1,9,1,Fin,3,691,NA,NA,9,2006
37,20,10859,NA,CollgCr,5,5,1994,1995,0,1097,1097,1097,0,3,1,6,0,Unf,2,672,NA,NA,6,2009
38,20,8532,NA,NAmes,5,6,1954,1990,1213,84,1297,1297,0,3,1,5,1,Fin,2,498,NA,NA,10,2009
39,20,7922,NA,NAmes,5,7,1953,2007,731,326,1057,1057,1,3,1,5,0,Unf,1,246,NA,NA,1,2010
40,90,6040,NA,Edwards,4,5,1955,1955,0,0,0,1152,0,2,2,6,0,NA,0,0,NA,NA,6,2008
41,20,8658,NA,NAmes,6,5,1965,1965,643,445,1088,1324,0,3,1,6,1,RFn,2,440,NA,NA,12,2006
42,20,16905,NA,Timber,5,6,1959,1959,967,383,1350,1328,0,2,1,5,2,RFn,1,308,NA,NA,7,2007
43,85,9180,NA,SawyerW,5,7,1983,1983,747,0,840,884,1,2,1,5,0,RFn,2,504,NA,NA,12,2007
44,20,9200,NA,CollgCr,5,6,1975,1980,280,167,938,938,1,3,1,5,0,Unf,1,308,NA,NA,7,2008
45,20,7945,NA,NAmes,5,6,1959,1959,179,465,1150,1150,1,3,1,6,0,RFn,1,300,NA,NA,5,2006
46,120,7658,NA,NridgHt,9,5,2005,2005,456,1296,1752,1752,1,2,1,6,1,RFn,2,576,NA,NA,2,2010
47,50,12822,NA,Mitchel,7,5,2003,2003,1351,83,1434,2149,1,1,1,6,1,RFn,2,670,NA,NA,8,2009
48,20,11096,NA,Somerst,8,5,2006,2006,24,1632,1656,1656,0,3,1,7,0,RFn,3,826,NA,NA,7,2007
49,190,4456,NA,OldTown,4,5,1920,2008,0,736,736,1452,0,2,3,8,0,NA,0,0,NA,NA,6,2009
50,20,7742,NA,Sawyer,5,7,1966,1966,763,192,955,955,1,3,1,6,0,Unf,1,386,NA,NA,1,2007
51,60,13869,NA,Gilbert,6,6,1997,1997,182,612,794,1470,0,3,1,6,0,Fin,2,388,NA,NA,7,2007
52,50,6240,NA,BrkSide,6,6,1934,1950,0,816,816,1176,0,3,1,6,1,Unf,2,528,NA,Shed,9,2006
53,90,8472,NA,IDOTRR,5,5,1963,1963,104,0,816,816,1,2,1,5,0,Unf,2,516,NA,NA,5,2010
54,20,50271,NA,Veenker,9,5,1981,1987,1810,32,1842,1842,2,0,1,5,1,Fin,3,894,NA,NA,11,2006
55,80,7134,NA,NAmes,5,5,1955,1955,384,0,384,1360,0,3,1,6,1,Unf,2,572,NA,NA,2,2007
56,20,10175,NA,NAmes,6,5,1964,1964,490,935,1425,1425,0,3,1,7,1,RFn,2,576,NA,NA,7,2008
57,160,2645,Pave,Somerst,8,5,1999,2000,649,321,970,1739,1,3,1,7,0,Fin,2,480,NA,NA,8,2009
58,60,11645,NA,CollgCr,7,5,2004,2004,0,860,860,1720,0,3,1,7,0,RFn,2,565,NA,NA,8,2006
59,60,13682,NA,StoneBr,10,5,2006,2006,0,1410,1410,2945,0,3,1,10,1,Fin,3,641,NA,NA,10,2006
60,20,7200,NA,CollgCr,5,7,1972,1972,632,148,780,780,0,2,1,4,0,Unf,1,352,NA,NA,1,2008
61,20,13072,NA,SawyerW,6,5,2004,2004,941,217,1158,1158,1,3,1,5,0,Unf,2,576,NA,NA,5,2006
62,75,7200,NA,IDOTRR,5,7,1920,1996,0,530,530,1111,0,3,1,6,0,Unf,1,288,NA,NA,3,2007
63,120,6442,NA,NridgHt,8,5,2006,2006,24,1346,1370,1370,0,2,1,6,1,RFn,2,484,NA,NA,10,2007
64,70,10300,NA,OldTown,7,6,1921,1950,0,576,576,1710,0,3,1,9,0,Unf,2,480,NA,NA,4,2010
65,60,9375,NA,CollgCr,7,5,1997,1998,739,318,1057,2034,1,3,1,8,0,RFn,2,645,NA,NA,2,2009
66,60,9591,NA,NridgHt,8,5,2004,2005,0,1143,1143,2473,0,4,1,9,1,RFn,3,852,NA,NA,10,2007
67,20,19900,NA,NAmes,7,5,1970,1989,912,1035,1947,2207,1,3,1,7,1,RFn,2,576,NA,NA,7,2010
68,20,10665,NA,CollgCr,7,5,2003,2003,1013,440,1453,1479,1,3,1,7,0,RFn,2,558,NA,NA,6,2007
69,30,4608,NA,OldTown,4,6,1945,1950,0,747,747,747,0,2,1,4,0,Unf,1,220,NA,NA,6,2010
70,50,15593,NA,ClearCr,7,4,1953,1953,603,701,1304,2287,0,3,1,7,1,Fin,2,667,NA,NA,7,2006
71,20,13651,NA,NAmes,7,6,1973,1973,1880,343,2223,2223,1,3,1,8,2,Fin,2,516,NA,NA,2,2007
72,20,7599,NA,Mitchel,4,6,1982,2006,565,280,845,845,1,2,1,4,0,Unf,2,360,NA,NA,6,2007
73,60,10141,NA,Gilbert,7,5,1998,1998,0,832,832,1718,0,3,1,7,1,Fin,2,427,NA,NA,12,2009
74,20,10200,NA,NAmes,5,7,1954,2003,320,404,1086,1086,1,3,1,6,0,Unf,2,490,NA,NA,5,2010
75,50,5790,NA,OldTown,3,6,1915,1950,0,840,840,1605,0,3,2,8,0,Unf,1,379,NA,NA,5,2010
76,180,1596,NA,MeadowV,4,5,1973,1973,462,0,462,988,1,2,1,5,0,Unf,1,297,NA,NA,11,2009
77,20,8475,NA,NAmes,4,7,1956,1956,228,724,952,952,0,2,1,4,0,Unf,1,283,NA,NA,4,2008
78,50,8635,NA,BrkSide,5,5,1948,2001,336,295,672,1285,1,2,1,6,0,Unf,1,240,NA,NA,1,2008
79,90,10778,NA,Sawyer,4,5,1968,1968,0,1768,1768,1768,0,4,2,8,0,NA,0,0,NA,NA,4,2010
80,50,10440,Grvl,OldTown,5,6,1910,1981,0,440,440,1230,0,2,1,5,0,Unf,2,440,NA,NA,5,2009
81,60,13000,NA,NAmes,6,6,1968,1968,448,448,896,2142,0,4,1,8,1,Fin,1,509,NA,NA,6,2009
82,120,4500,NA,Mitchel,6,5,1998,1998,1201,36,1237,1337,1,2,1,5,0,Fin,2,405,NA,NA,3,2006
83,20,10206,NA,Somerst,8,5,2007,2007,33,1530,1563,1563,0,3,1,6,1,RFn,3,758,NA,NA,10,2008
84,20,8892,NA,NAmes,5,5,1960,1960,0,1065,1065,1065,0,3,1,6,0,Unf,2,461,NA,NA,7,2007
85,80,8530,NA,Gilbert,7,5,1995,1996,0,384,384,1474,0,3,1,7,1,Fin,2,400,NA,Shed,5,2009
86,60,16059,NA,NoRidge,8,5,1991,1992,0,1288,1288,2417,0,4,1,9,1,Unf,2,462,NA,NA,4,2006
87,60,11911,NA,Gilbert,6,5,2005,2005,0,684,684,1560,0,3,1,6,1,Fin,2,400,NA,NA,3,2009
88,160,3951,Pave,Somerst,6,5,2009,2009,0,612,612,1224,0,2,1,4,0,RFn,2,528,NA,NA,6,2009
89,50,8470,NA,IDOTRR,3,2,1915,1982,0,1013,1013,1526,0,2,1,6,0,NA,0,0,NA,NA,10,2009
90,20,8070,NA,CollgCr,4,5,1994,1995,588,402,990,990,1,3,1,5,0,NA,0,0,NA,NA,8,2007
91,20,7200,NA,NAmes,4,5,1950,1950,0,0,0,1040,0,2,1,4,0,Unf,2,420,NA,NA,7,2006
92,20,8500,NA,NAmes,5,3,1961,1961,600,635,1235,1235,0,2,1,6,0,Unf,2,480,NA,NA,12,2006
93,30,13360,Grvl,Crawfor,5,7,1921,2006,713,163,876,964,1,2,1,5,0,Unf,2,432,NA,NA,8,2009
94,190,7200,NA,OldTown,6,6,1910,1998,1046,168,1214,2291,0,4,2,9,1,Unf,2,506,NA,NA,11,2007
95,60,9337,NA,CollgCr,6,5,1997,1997,648,176,824,1786,1,3,1,7,0,RFn,2,684,NA,NA,5,2007
96,60,9765,NA,Gilbert,6,8,1993,1993,310,370,680,1470,0,3,1,6,1,Fin,2,420,NA,Shed,4,2009
97,20,10264,NA,CollgCr,7,5,1999,1999,1162,426,1588,1588,0,3,1,6,0,RFn,2,472,NA,NA,8,2006
98,20,10921,NA,Edwards,4,5,1965,1965,520,440,960,960,1,3,1,6,0,Fin,1,432,NA,NA,5,2007
99,30,10625,NA,Edwards,5,5,1920,1950,108,350,458,835,0,2,1,5,0,Unf,1,366,NA,Shed,5,2010
100,20,9320,NA,NAmes,4,5,1959,1959,569,381,950,1225,1,3,1,6,0,NA,0,0,NA,Shed,1,2010
101,20,10603,NA,NWAmes,6,7,1977,2001,1200,410,1610,1610,1,3,1,6,2,RFn,2,480,NA,NA,2,2010
102,60,9206,NA,SawyerW,6,5,1985,1985,0,741,741,1732,0,3,1,7,1,Fin,2,476,NA,NA,6,2010
103,90,7018,NA,SawyerW,5,5,1979,1979,0,0,0,1535,0,4,2,8,0,Unf,2,410,NA,NA,6,2009
104,20,10402,NA,CollgCr,7,5,2009,2009,0,1226,1226,1226,0,3,1,6,0,RFn,3,740,NA,NA,5,2010
105,50,7758,NA,IDOTRR,7,4,1931,1950,224,816,1040,1818,0,4,1,7,2,Unf,1,240,NA,NA,6,2007
106,60,9375,NA,Somerst,8,5,2003,2004,0,1053,1053,1992,0,3,1,9,1,RFn,2,648,NA,NA,8,2008
107,30,10800,Grvl,OldTown,4,7,1885,1995,0,641,641,1047,0,2,1,6,0,Unf,1,273,NA,Shed,8,2007
108,20,6000,NA,OldTown,5,5,1948,1950,104,516,789,789,0,2,1,5,0,Unf,1,250,NA,NA,4,2008
109,50,8500,NA,IDOTRR,5,7,1919,2005,0,793,793,1517,0,3,1,7,0,NA,0,0,NA,NA,8,2007
110,20,11751,NA,NWAmes,6,6,1977,1977,705,1139,1844,1844,0,3,1,7,1,RFn,2,546,NA,NA,1,2010
111,50,9525,NA,Edwards,6,4,1954,1972,444,550,994,1855,0,4,1,7,0,Unf,1,325,NA,NA,10,2006
112,80,7750,NA,Gilbert,7,5,2000,2000,250,134,384,1430,0,3,1,7,1,Fin,2,400,NA,NA,4,2010
113,60,9965,NA,CollgCr,7,5,2007,2007,984,280,1264,2696,1,4,1,10,1,Fin,3,792,NA,NA,10,2007
114,20,21000,NA,Crawfor,6,5,1953,1953,35,905,1809,2259,1,3,1,7,2,Unf,2,450,NA,NA,10,2007
115,70,7259,NA,Crawfor,6,8,1945,2002,774,104,1028,2320,1,3,1,9,1,Unf,1,180,NA,NA,7,2007
116,160,3230,Pave,Somerst,6,5,1999,1999,419,310,729,1458,0,2,1,5,1,Unf,2,440,NA,NA,6,2007
117,20,11616,NA,Sawyer,5,5,1962,1962,170,252,1092,1092,0,3,1,6,1,Unf,1,288,NA,NA,9,2009
118,20,8536,NA,Edwards,5,5,2006,2007,0,1125,1125,1125,0,2,1,5,0,Unf,2,430,NA,NA,4,2007
119,60,12376,NA,SawyerW,7,5,1990,1990,1470,203,1673,3222,1,5,1,11,2,Unf,3,594,NA,NA,5,2010
120,60,8461,NA,CollgCr,6,5,2005,2006,0,728,728,1456,0,3,1,8,1,Fin,2,390,NA,NA,7,2006
121,80,21453,NA,ClearCr,6,5,1969,1969,938,0,938,988,1,1,1,4,2,Unf,2,540,NA,NA,10,2006
122,50,6060,NA,IDOTRR,4,5,1939,1950,0,732,732,1123,0,3,1,4,0,Unf,1,264,NA,NA,6,2007
123,20,9464,NA,NAmes,6,7,1958,1958,570,510,1080,1080,0,3,1,5,0,Unf,1,288,NA,NA,6,2008
124,120,7892,NA,SawyerW,6,5,1993,1993,300,899,1199,1199,0,2,1,5,0,RFn,2,530,NA,NA,3,2008
125,20,17043,NA,NWAmes,6,5,1979,1998,0,1362,1362,1586,0,3,1,7,1,Unf,2,435,NA,NA,1,2009
126,190,6780,NA,IDOTRR,6,8,1935,1982,490,30,520,754,1,2,1,5,0,NA,0,0,NA,NA,6,2006
127,120,4928,NA,NPkVill,6,5,1976,1976,120,958,1078,958,0,2,1,5,1,RFn,2,440,NA,NA,2,2007
128,45,4388,NA,OldTown,5,7,1930,1950,116,556,672,840,0,3,1,5,1,NA,0,0,NA,NA,6,2007
129,60,7590,NA,NAmes,6,5,1966,1966,512,148,660,1348,0,3,1,6,1,RFn,2,453,NA,NA,7,2006
130,20,8973,NA,NAmes,5,7,1958,1991,567,413,1008,1053,0,3,1,6,0,RFn,2,750,NA,NA,7,2006
131,60,14200,NA,NAmes,7,6,1966,1966,445,479,924,2157,0,4,1,8,2,Fin,2,487,NA,NA,5,2006
132,60,12224,NA,Gilbert,6,5,2000,2000,695,297,992,2054,1,3,1,7,1,RFn,2,390,NA,NA,7,2009
133,20,7388,NA,NAmes,5,6,1959,2002,405,658,1063,1327,1,3,1,7,0,Unf,2,624,NA,NA,7,2007
134,20,6853,NA,Timber,8,5,2001,2002,1005,262,1267,1296,1,2,1,6,0,Fin,2,471,NA,NA,6,2009
135,20,10335,NA,Sawyer,5,6,1968,1993,570,891,1461,1721,0,3,1,7,1,RFn,2,440,NA,NA,7,2006
136,20,10400,NA,NWAmes,7,6,1970,1970,0,1304,1304,1682,0,3,1,7,1,Unf,2,530,NA,NA,5,2008
137,20,10355,NA,NAmes,5,5,1967,1967,695,519,1214,1214,0,3,1,5,1,RFn,1,318,NA,NA,7,2007
138,90,11070,NA,Mitchel,7,5,1988,1989,0,1907,1907,1959,0,5,2,9,0,Unf,3,766,NA,NA,7,2006
139,60,9066,NA,CollgCr,8,5,1999,2000,668,336,1004,1852,0,3,1,7,2,Fin,3,660,NA,NA,12,2008
140,60,15426,NA,CollgCr,6,5,1997,1997,821,107,928,1764,1,3,1,7,0,RFn,2,470,NA,NA,8,2009
141,20,10500,NA,NAmes,4,5,1971,1971,432,432,864,864,0,3,1,5,1,NA,0,0,NA,NA,4,2010
142,20,11645,NA,CollgCr,7,5,2005,2005,1300,434,1734,1734,1,3,1,7,0,Fin,2,660,NA,NA,1,2006
143,50,8520,NA,NAmes,5,4,1952,1952,507,403,910,1385,0,4,1,6,0,Unf,2,720,NA,NA,6,2010
144,20,10335,NA,CollgCr,7,5,1999,1999,679,811,1490,1501,1,3,1,6,0,RFn,2,577,NA,NA,6,2009
145,90,9100,NA,Sawyer,5,5,1963,1963,1332,396,1728,1728,1,6,2,10,0,Unf,2,504,NA,NA,11,2006
146,160,2522,NA,Edwards,6,5,2004,2006,0,970,970,1709,0,3,1,7,0,Unf,2,380,NA,NA,4,2006
147,30,6120,NA,BrkSide,5,7,1931,1993,209,506,715,875,1,2,1,5,0,Unf,1,180,NA,NA,11,2009
148,60,9505,NA,Gilbert,7,5,2001,2001,0,884,884,2035,0,3,1,8,1,Fin,2,434,NA,NA,5,2010
149,20,7500,NA,SawyerW,7,5,2004,2005,680,400,1080,1080,1,3,1,6,0,NA,0,0,NA,NA,4,2008
150,50,6240,NA,BrkSide,5,4,1936,1950,0,896,896,1344,0,3,1,7,0,Unf,1,240,NA,NA,4,2006
151,20,10356,NA,CollgCr,5,6,1975,1975,716,253,969,969,0,3,1,5,0,Unf,2,440,NA,NA,1,2007
152,20,13891,NA,NridgHt,8,5,2007,2008,1400,310,1710,1710,1,2,1,6,1,RFn,3,866,NA,NA,1,2008
153,60,14803,NA,NWAmes,6,5,1971,1971,416,409,825,1993,0,4,1,8,1,RFn,2,495,NA,NA,6,2006
154,20,13500,NA,ClearCr,6,7,1960,1975,429,93,1602,1252,1,1,1,4,1,RFn,2,564,NA,NA,3,2008
155,30,11340,NA,OldTown,6,5,1923,1950,0,1200,1200,1200,0,4,1,7,0,Unf,1,312,NA,NA,3,2006
156,50,9600,NA,Edwards,6,5,1924,1950,0,572,572,1096,0,2,1,5,0,NA,0,0,NA,NA,4,2008
157,20,7200,NA,NAmes,5,7,1950,1950,0,0,0,1040,0,2,1,5,0,Unf,2,625,NA,NA,6,2006
158,60,12003,NA,Timber,8,5,2009,2010,0,774,774,1968,0,4,1,8,1,Fin,3,680,NA,NA,5,2010
159,60,12552,NA,Somerst,7,5,2004,2005,222,769,991,1947,0,3,1,8,1,RFn,2,678,NA,NA,5,2010
160,60,19378,NA,Gilbert,7,5,2005,2006,57,1335,1392,2462,1,4,1,9,1,RFn,2,576,NA,NA,3,2006
161,20,11120,NA,Veenker,6,6,1984,1984,660,572,1232,1232,0,3,1,6,0,Unf,2,516,NA,NA,6,2008
162,60,13688,NA,NridgHt,9,5,2003,2004,1016,556,1572,2668,1,3,1,10,2,Fin,3,726,NA,NA,3,2008
163,20,12182,NA,NridgHt,7,5,2005,2005,1201,340,1541,1541,0,3,1,7,1,RFn,2,532,NA,NA,5,2010
164,45,5500,NA,OldTown,4,6,1956,1956,0,882,882,882,0,1,1,4,0,NA,0,0,NA,NA,4,2007
165,40,5400,Pave,OldTown,6,7,1926,2004,370,779,1149,1616,0,3,1,5,0,Unf,1,216,NA,NA,10,2007
166,190,10106,NA,Edwards,5,7,1940,1999,351,112,644,1355,1,4,2,6,0,NA,0,0,NA,NA,9,2008
167,20,10708,NA,ClearCr,5,5,1955,1993,379,470,1617,1867,1,2,1,7,3,Fin,1,303,NA,NA,11,2009
168,60,10562,NA,NridgHt,8,5,2007,2007,1288,294,1582,2161,1,3,1,8,1,Fin,3,789,NA,NA,11,2007
169,60,8244,NA,Gilbert,7,5,2004,2004,0,840,840,1720,0,3,1,7,1,Fin,2,440,NA,NA,5,2007
170,20,16669,NA,Timber,8,6,1981,1981,0,1686,1686,1707,0,2,1,6,1,RFn,2,511,NA,NA,1,2006
171,50,12358,NA,OldTown,5,6,1941,1950,360,360,720,1382,0,2,1,7,0,Unf,2,660,NA,NA,5,2007
172,20,31770,NA,NAmes,6,5,1960,1960,639,441,1080,1656,1,3,1,7,2,Fin,2,528,NA,NA,5,2010
173,160,5306,NA,StoneBr,7,7,1987,1987,495,354,1064,1767,1,2,1,5,1,RFn,2,504,NA,NA,6,2006
174,20,10197,NA,NAmes,6,5,1961,1961,288,700,1362,1362,1,3,1,6,1,Unf,2,504,NA,NA,6,2008
175,20,12416,NA,Timber,6,5,1986,1986,1398,0,1606,1651,1,3,1,7,1,Fin,2,616,NA,NA,11,2008
176,20,12615,NA,Edwards,6,7,1950,2001,477,725,1202,2158,1,4,1,7,1,Unf,2,576,NA,NA,6,2007
177,60,10029,NA,ClearCr,6,5,1988,1989,831,320,1151,2060,0,4,1,8,1,Unf,2,521,NA,NA,9,2007
178,50,13650,NA,Sawyer,5,5,1958,1958,57,554,1052,1920,1,4,1,8,1,Unf,2,451,NA,NA,7,2006
179,20,17423,NA,StoneBr,9,5,2008,2009,1904,312,2216,2234,1,1,1,9,1,Fin,3,1166,NA,NA,7,2009
180,30,8520,NA,OldTown,5,6,1923,2006,0,968,968,968,0,2,1,5,0,Unf,2,480,NA,NA,7,2007
181,160,2117,NA,Somerst,6,5,2000,2000,436,320,756,1525,0,3,1,5,1,Unf,2,440,NA,NA,6,2007
182,70,7588,NA,Crawfor,7,6,1920,1950,352,441,793,1802,0,4,1,9,1,Unf,1,216,NA,NA,7,2006
183,20,9060,NA,Edwards,5,6,1957,2006,0,0,0,1340,0,3,1,7,1,RFn,1,252,NA,NA,6,2007
184,50,11426,NA,OldTown,7,5,2003,2003,0,1362,1362,2082,0,3,1,6,0,Unf,2,484,NA,NA,6,2008
185,50,7438,NA,BrkSide,5,8,1908,1991,0,504,504,1252,0,3,1,5,0,Unf,2,576,NA,NA,6,2006
186,75,22950,NA,OldTown,10,9,1892,1993,0,1107,1107,3608,0,4,1,12,2,Unf,3,840,NA,NA,6,2006
187,80,9947,NA,Mitchel,7,5,1990,1991,611,577,1188,1217,1,3,1,6,0,Unf,2,497,NA,NA,6,2009
188,50,10410,NA,OldTown,5,7,1916,1987,0,660,660,1656,0,3,1,8,0,Unf,1,180,NA,NA,8,2009
189,90,7018,NA,SawyerW,5,5,1979,1979,1086,0,1086,1224,2,2,2,6,2,Unf,2,528,NA,NA,6,2009
190,120,4923,NA,StoneBr,8,5,2001,2002,1153,440,1593,1593,1,0,1,5,1,Fin,2,682,NA,NA,8,2008
191,70,10570,NA,Crawfor,8,8,1932,1994,297,556,853,2727,0,3,1,10,2,Unf,2,440,NA,NA,12,2007
192,60,7472,NA,NAmes,7,9,1972,2004,626,99,725,1479,1,4,1,7,0,Fin,2,484,NA,NA,6,2007
193,20,9017,NA,CollgCr,7,5,1999,1999,560,871,1431,1431,1,3,1,6,0,Fin,2,666,NA,NA,9,2009
194,160,2522,NA,Edwards,7,5,2004,2004,0,970,970,1709,0,3,1,7,0,Unf,2,380,NA,NA,5,2006
195,20,7180,NA,CollgCr,5,7,1972,1972,390,474,864,864,0,3,1,5,0,Unf,1,352,NA,NA,5,2008
196,160,2280,NA,NPkVill,6,6,1976,1976,566,289,855,1456,0,3,1,7,1,Unf,2,440,NA,NA,7,2009
197,20,9416,NA,Somerst,7,5,2007,2007,1126,600,1726,1726,1,3,1,8,1,Fin,3,786,NA,NA,9,2007
198,75,25419,NA,NAmes,8,4,1918,1990,1036,140,1360,3112,1,4,1,8,1,Unf,2,795,Ex,NA,3,2006
199,75,5520,NA,OldTown,6,6,1912,1950,0,755,755,2229,0,5,1,8,0,NA,0,0,NA,NA,7,2009
200,20,9591,NA,NridgHt,8,5,2004,2005,1088,625,1713,1713,1,3,1,7,1,Fin,3,856,NA,NA,1,2009
201,20,8546,NA,Edwards,4,5,2003,2004,0,1121,1121,1121,0,2,1,5,0,RFn,2,440,NA,NA,3,2010
202,20,10125,NA,Mitchel,6,6,1977,1977,641,276,1196,1279,0,3,1,6,2,Unf,2,473,NA,NA,2,2008
203,50,7000,NA,OldTown,6,6,1924,1950,617,0,617,1310,0,2,1,6,0,Unf,1,398,NA,NA,5,2006
204,120,4438,NA,CollgCr,6,5,2004,2004,662,186,848,848,1,1,1,3,1,RFn,2,420,NA,NA,1,2008
205,50,3500,Grvl,OldTown,5,7,1947,1950,312,408,720,1284,0,2,1,5,0,Unf,1,240,NA,NA,4,2009
206,20,11851,NA,Gilbert,7,5,1990,1990,0,1424,1424,1442,0,3,1,5,0,RFn,2,500,NA,NA,5,2009
207,20,13673,NA,Sawyer,5,5,1962,1962,0,1140,1140,1696,0,3,1,8,1,RFn,1,349,NA,NA,3,2007
208,20,12493,NA,NAmes,4,5,1960,1960,419,375,1100,1100,1,3,1,6,1,RFn,1,312,NA,NA,4,2008
209,60,14364,NA,SawyerW,7,5,1988,1989,1065,92,1157,2062,1,3,1,7,1,Fin,2,454,NA,NA,4,2007
210,20,8250,NA,NAmes,6,7,1964,1964,787,305,1092,1092,1,3,1,6,0,RFn,2,504,NA,NA,7,2008
211,30,5604,NA,Edwards,5,6,1925,1950,468,396,864,864,1,2,1,5,0,NA,0,0,NA,NA,4,2008
